geo,time,Työikäisten määrä,Väkiluku,Sosiaalipalvelut,Terveyspalvelut,Kela-korvaukset,Eräät sote-tulonsiirrot,"Väestöllinen huoltosuhde, %",Kunnallisvero,SAVA,Pääomaverot
Pohjois-Savo,2025,73372,249141,4654,7714,2209,3030,29.44999017,10143,1030,1325
Pohjois-Savo,2030,71760,249350,5029,8246,2303,3239,28.77882494,10304,1044,1360
Pohjois-Savo,2035,71438,248901,5429,8647,2340,3309,28.70137123,10297,1044,1367
Pohjois-Savo,2040,72140,247688,5574,8704,2315,3221,29.12535125,10141,1031,1364
Keski-Suomi,2015,80358,251761,3589,5575,1838,2381,31.91836702,9272,969,1354
Keski-Suomi,2020,78594,254632,3865,5969,1930,2638,30.86571994,9536,989,1392
Keski-Suomi,2025,78062,256993,4201,6377,2005,2838,30.3751464,9636,994,1408
Keski-Suomi,2030,77528,258655,4495,6724,2066,3001,29.97351685,9730,1002,1417
Keski-Suomi,2035,77738,259306,4840,7006,2091,3047,29.97925231,9725,1002,1425
Keski-Suomi,2040,78224,259147,4976,7086,2087,3012,30.18518447,9669,997,1448
Etelä-Pohjanmaa,2015,61306,197980,3844,6633,1921,2903,30.96575412,9376,973,1351
Etelä-Pohjanmaa,2020,58571,197530,4112,7144,2037,3244,29.65169848,9688,997,1404
Etelä-Pohjanmaa,2025,57105,197615,4468,7688,2136,3515,28.89709789,9816,1005,1427
Etelä-Pohjanmaa,2030,56289,197711,4764,8119,2206,3716,28.47034308,9874,1009,1442
Etelä-Pohjanmaa,2035,55962,197507,5147,8509,2242,3798,28.33418562,9870,1010,1442
Etelä-Pohjanmaa,2040,56358,196933,5269,8567,2224,3720,28.6178548,9767,1002,1437
Vaasa,2015,54152,170315,3598,6365,1558,3500,31.79520301,10039,1087,1837
Vaasa,2020,54057,174294,3785,6684,1610,3761,31.014837,10230,1102,1876
Vaasa,2025,54903,177872,3995,6955,1639,3895,30.86657821,10211,1098,1848
Vaasa,2030,55558,180698,4212,7213,1666,4021,30.74632813,10215,1098,1849
Vaasa,2035,56010,182700,4475,7471,1686,4097,30.65681445,10243,1101,1869
Vaasa,2040,56740,184000,4552,7512,1681,4047,30.83695652,10198,1097,1880
Keski-Pohjanmaa,2015,23932,78400,4046,6147,1869,2720,30.5255102,9683,1007,1277
Keski-Pohjanmaa,2020,23216,78700,4341,6578,1961,3033,29.49936468,9902,1024,1310
Keski-Pohjanmaa,2025,23057,79058,4653,6960,2020,3215,29.16466392,9909,1022,1315
Keski-Pohjanmaa,2030,22911,79252,4944,7289,2068,3368,28.90904961,9943,1025,1335
Keski-Pohjanmaa,2035,22814,79216,5293,7590,2096,3425,28.79973743,9971,1029,1353
Keski-Pohjanmaa,2040,22986,79062,5377,7606,2079,3351,29.07338544,9893,1022,1360
Pohjois-Pohjanmaa,2015,131376,407995,3377,5689,1830,2083,32.20039461,9356,978,1006
Pohjois-Pohjanmaa,2020,130627,418780,3642,6111,1928,2365,31.19227279,9622,997,1048
Pohjois-Pohjanmaa,2025,130985,427230,3955,6544,2013,2600,30.65912974,9754,1005,1069
Pohjois-Pohjanmaa,2030,131061,433570,4262,6947,2085,2795,30.22833683,9870,1014,1085
Pohjois-Pohjanmaa,2035,131445,438115,4635,7322,2135,2906,30.00239663,9931,1019,1097
Pohjois-Pohjanmaa,2040,132293,440968,4858,7516,2152,2929,30.00058961,9925,1018,1121
Kainuu,2015,23879,75397,4006,7182,2322,6448,31.67102139,9369,927,1011
Kainuu,2020,21684,72695,4469,8010,2517,7678,29.8287365,9802,956,1070
Kainuu,2025,20368,70675,4938,8782,2668,8624,28.81924301,9980,965,1087
Kainuu,2030,19370,68935,5382,9482,2790,9329,28.09893378,10112,975,1111
Kainuu,2035,19019,67399,5776,9878,2808,9371,28.21851956,9996,967,1099
Kainuu,2040,19026,65961,5927,9885,2747,8938,28.8443171,9742,948,1079
Länsi-Pohja,2015,19913,63189,3835,7173,1796,3835,31.51339632,10117,1019,863
Länsi-Pohja,2020,18422,61657,4221,7932,1933,4221,29.87819712,10542,1048,914
Länsi-Pohja,2025,17517,60520,4683,8711,2043,4683,28.94415069,10743,1058,938
Länsi-Pohja,2030,16865,59555,5084,9365,2126,5084,28.31836118,10875,1068,955
Länsi-Pohja,2035,16599,58639,5519,9839,2148,5519,28.30709937,10819,1063,953
Länsi-Pohja,2040,16522,57692,5705,9946,2124,5705,28.63828607,10664,1050,963
Lappi,2015,37938,117987,4272,6893,2080,5626,32.15438989,9423,968,931
Lappi,2020,35615,117843,4768,7657,2252,6650,30.22241457,9948,1009,1006
Lappi,2025,34181,118011,5358,8466,2410,7575,28.9642491,10258,1030,1049
Lappi,2030,33266,118087,5789,9079,2531,8249,28.17075546,10456,1047,1076
Lappi,2035,33300,117910,6240,9478,2564,8341,28.2418794,10393,1044,1066
Lappi,2040,33791,117474,6415,9515,2528,8023,28.76466282,10195,1027,1071
