time;geo;gpd_per_cap;lex;pop;geo.name;geo.region
2040;Keski-Suomi;389276731.7;554314582.5;163247114.2;Keski-Suomi;region
2015;Etelä-Pohjanmaa;235635489.4;406632262.4;117770105.8;Etelä-Pohjanmaa;region
2020;Etelä-Pohjanmaa;240864839.2;418424421.4;119317649.3;Etelä-Pohjanmaa;region
2025;Etelä-Pohjanmaa;255133492.1;439004778.6;121985565.9;Etelä-Pohjanmaa;region
2030;Etelä-Pohjanmaa;268140132.7;457032262.9;124158543.8;Etelä-Pohjanmaa;region
2035;Etelä-Pohjanmaa;288017610.8;476198622.6;125469461;Etelä-Pohjanmaa;region
2040;Etelä-Pohjanmaa;296940631.2;482845987.9;125342670.5;Etelä-Pohjanmaa;region
2015;Vaasa;194830194.6;344690772;84393532.73;Vaasa;region
2020;Vaasa;204617266.7;361341353.6;87046346.31;Vaasa;region
2025;Vaasa;219361043.6;381830387;90003340.5;Vaasa;region
2030;Vaasa;233994491.6;400744760.4;92533906.64;Vaasa;region
2035;Vaasa;250639027.6;418443680.8;94445032.05;Vaasa;region
2040;Vaasa;258258845;426247773.8;95397027.82;Vaasa;region
2015;Keski-Pohjanmaa;96818368.35;147103813.1;44726334.34;Keski-Pohjanmaa;region
2020;Keski-Pohjanmaa;100783561.5;152705495.3;45516863.52;Keski-Pohjanmaa;region
2025;Keski-Pohjanmaa;107285308.2;160466308;46583318.75;Keski-Pohjanmaa;region
2030;Keski-Pohjanmaa;113274339;167006082;47382009.25;Keski-Pohjanmaa;region
2035;Keski-Pohjanmaa;120752892.3;173162348.3;47808177.71;Keski-Pohjanmaa;region
2040;Keski-Pohjanmaa;123591746.5;174840265.9;47784743.11;Keski-Pohjanmaa;region
2015;Pohjois-Pohjanmaa;443667051.4;747457072;240362129.8;Pohjois-Pohjanmaa;region
2020;Pohjois-Pohjanmaa;475803560.5;798251791.3;251906915.9;Pohjois-Pohjanmaa;region
2025;Pohjois-Pohjanmaa;518068193.7;857207826.7;263671582.8;Pohjois-Pohjanmaa;region
2030;Pohjois-Pohjanmaa;558575193.4;910529675.5;273280435.2;Pohjois-Pohjanmaa;region
2035;Pohjois-Pohjanmaa;609189322.5;962454648.6;280671473.6;Pohjois-Pohjanmaa;region
