Region,Time,Healthcare cost,Dependency ratio,Working population,Population size,Social care cost,Kela compensation,Social welfare transfers,Municipality tax,Health insurance payments,Capital tax
Pohjois-Savo,2030,8246,28.77882494,71760,249350,5029,2303,3239,10304,1044,1360
Pohjois-Savo,2035,8647,28.70137123,71438,248901,5429,2340,3309,10297,1044,1367
Pohjois-Savo,2040,8704,29.12535125,72140,247688,5574,2315,3221,10141,1031,1364
Keski-Suomi,2015,5575,31.91836702,80358,251761,3589,1838,2381,9272,969,1354
Keski-Suomi,2020,5969,30.86571994,78594,254632,3865,1930,2638,9536,989,1392
Keski-Suomi,2025,6377,30.3751464,78062,256993,4201,2005,2838,9636,994,1408
Keski-Suomi,2030,6724,29.97351685,77528,258655,4495,2066,3001,9730,1002,1417
Keski-Suomi,2035,7006,29.97925231,77738,259306,4840,2091,3047,9725,1002,1425
Keski-Suomi,2040,7086,30.18518447,78224,259147,4976,2087,3012,9669,997,1448
Etelä-Pohjanmaa,2015,6633,30.96575412,61306,197980,3844,1921,2903,9376,973,1351
Etelä-Pohjanmaa,2020,7144,29.65169848,58571,197530,4112,2037,3244,9688,997,1404
Etelä-Pohjanmaa,2025,7688,28.89709789,57105,197615,4468,2136,3515,9816,1005,1427
Etelä-Pohjanmaa,2030,8119,28.47034308,56289,197711,4764,2206,3716,9874,1009,1442
Etelä-Pohjanmaa,2035,8509,28.33418562,55962,197507,5147,2242,3798,9870,1010,1442
Etelä-Pohjanmaa,2040,8567,28.6178548,56358,196933,5269,2224,3720,9767,1002,1437
Vaasa,2015,6365,31.79520301,54152,170315,3598,1558,3500,10039,1087,1837
Vaasa,2020,6684,31.014837,54057,174294,3785,1610,3761,10230,1102,1876
Vaasa,2025,6955,30.86657821,54903,177872,3995,1639,3895,10211,1098,1848
Vaasa,2030,7213,30.74632813,55558,180698,4212,1666,4021,10215,1098,1849
Vaasa,2035,7471,30.65681445,56010,182700,4475,1686,4097,10243,1101,1869
Vaasa,2040,7512,30.83695652,56740,184000,4552,1681,4047,10198,1097,1880
Keski-Pohjanmaa,2015,6147,30.5255102,23932,78400,4046,1869,2720,9683,1007,1277
Keski-Pohjanmaa,2020,6578,29.49936468,23216,78700,4341,1961,3033,9902,1024,1310
Keski-Pohjanmaa,2025,6960,29.16466392,23057,79058,4653,2020,3215,9909,1022,1315
Keski-Pohjanmaa,2030,7289,28.90904961,22911,79252,4944,2068,3368,9943,1025,1335
Keski-Pohjanmaa,2035,7590,28.79973743,22814,79216,5293,2096,3425,9971,1029,1353
Keski-Pohjanmaa,2040,7606,29.07338544,22986,79062,5377,2079,3351,9893,1022,1360
Pohjois-Pohjanmaa,2015,5689,32.20039461,131376,407995,3377,1830,2083,9356,978,1006
Pohjois-Pohjanmaa,2020,6111,31.19227279,130627,418780,3642,1928,2365,9622,997,1048
Pohjois-Pohjanmaa,2025,6544,30.65912974,130985,427230,3955,2013,2600,9754,1005,1069
Pohjois-Pohjanmaa,2030,6947,30.22833683,131061,433570,4262,2085,2795,9870,1014,1085
Pohjois-Pohjanmaa,2035,7322,30.00239663,131445,438115,4635,2135,2906,9931,1019,1097
Pohjois-Pohjanmaa,2040,7516,30.00058961,132293,440968,4858,2152,2929,9925,1018,1121
Kainuu,2015,7182,31.67102139,23879,75397,4006,2322,6448,9369,927,1011
Kainuu,2020,8010,29.8287365,21684,72695,4469,2517,7678,9802,956,1070
