Maakunta,Vuosi,Sosiaalipalvelut,Terveyspalvelut,Kela-korvaukset,Eräät sote-tulonsiirrot
Kainuu,2020,96901007.24,173679879.9,54569790.49,166480621.5
Kainuu,2025,100569381.8,178871472,54339346.45,175657723.6
Kainuu,2030,104256940.9,183663898.5,54037042.71,180695621.7
Kainuu,2035,109859226.5,187874349.8,53402325.07,178224138
Kainuu,2040,112776185.9,188073347,52259836.88,170063542.7
Länsi-Pohja,2015,76374211.05,142842593.7,35755074.7,76374211.05
Länsi-Pohja,2020,77754097.36,146118731.5,35602605.32,77754097.36
Länsi-Pohja,2025,82031250.33,152589579.9,35794135.03,82031250.33
Länsi-Pohja,2030,85741414.45,157944784.8,35856547.91,85741414.45
Länsi-Pohja,2035,91604951.28,163316458.4,35655959.85,91604951.28
Länsi-Pohja,2040,94258369.86,164324167.6,35094421.76,94258369.86
Lappi,2015,162059381.8,261524561.6,78928473.98,213434547.2
Lappi,2020,169816770,272698053.7,80199154.27,236822550.9
Lappi,2025,183158472.6,289369813.3,82392967.9,258919759.5
Lappi,2030,192589263.2,302033626.2,84191434.88,274395386.7
Lappi,2035,207802760.2,315633113.5,85383615.78,277768249.7
Lappi,2040,216762858.5,321523607.7,85418487.9,271100456.5
