geo,time,Työikäisten määrä,Väkiluku,Sosiaalipalvelut,Terveyspalvelut,Kela-korvaukset,Eräät sote-tulonsiirrot,Väestöllinen huoltosuhde,Kunnallisvero,SAVA,Pääomaverot
Vaasa,2030,55558,180698,4212,7213,1666,4021,0,10215,1098,1849
Vaasa,2035,56010,182700,4475,7471,1686,4097,0,10243,1101,1869
Vaasa,2040,56740,184000,4552,7512,1681,4047,0,10198,1097,1880
Keski-Pohjanmaa,2015,23932,78400,4046,6147,1869,2720,0,9683,1007,1277
Keski-Pohjanmaa,2020,23216,78700,4341,6578,1961,3033,0,9902,1024,1310
Keski-Pohjanmaa,2025,23057,79058,4653,6960,2020,3215,0,9909,1022,1315
Keski-Pohjanmaa,2030,22911,79252,4944,7289,2068,3368,0,9943,1025,1335
Keski-Pohjanmaa,2035,22814,79216,5293,7590,2096,3425,0,9971,1029,1353
Keski-Pohjanmaa,2040,22986,79062,5377,7606,2079,3351,0,9893,1022,1360
Pohjois-Pohjanmaa,2015,131376,407995,3377,5689,1830,2083,0,9356,978,1006
Pohjois-Pohjanmaa,2020,130627,418780,3642,6111,1928,2365,0,9622,997,1048
Pohjois-Pohjanmaa,2025,130985,427230,3955,6544,2013,2600,0,9754,1005,1069
Pohjois-Pohjanmaa,2030,131061,433570,4262,6947,2085,2795,0,9870,1014,1085
Pohjois-Pohjanmaa,2035,131445,438115,4635,7322,2135,2906,0,9931,1019,1097
Pohjois-Pohjanmaa,2040,132293,440968,4858,7516,2152,2929,0,9925,1018,1121
Kainuu,2015,23879,75397,4006,7182,2322,6448,0,9369,927,1011
Kainuu,2020,21684,72695,4469,8010,2517,7678,0,9802,956,1070
Kainuu,2025,20368,70675,4938,8782,2668,8624,0,9980,965,1087
Kainuu,2030,19370,68935,5382,9482,2790,9329,0,10112,975,1111
Kainuu,2035,19019,67399,5776,9878,2808,9371,0,9996,967,1099
Kainuu,2040,19026,65961,5927,9885,2747,8938,0,9742,948,1079
Länsi-Pohja,2015,19913,63189,3835,7173,1796,3835,0,10117,1019,863
Länsi-Pohja,2020,18422,61657,4221,7932,1933,4221,0,10542,1048,914
Länsi-Pohja,2025,17517,60520,4683,8711,2043,4683,0,10743,1058,938
Länsi-Pohja,2030,16865,59555,5084,9365,2126,5084,0,10875,1068,955
Länsi-Pohja,2035,16599,58639,5519,9839,2148,5519,0,10819,1063,953
Länsi-Pohja,2040,16522,57692,5705,9946,2124,5705,0,10664,1050,963
Lappi,2015,37938,117987,4272,6893,2080,5626,0,9423,968,931
Lappi,2020,35615,117843,4768,7657,2252,6650,0,9948,1009,1006
Lappi,2025,34181,118011,5358,8466,2410,7575,0,10258,1030,1049
Lappi,2030,33266,118087,5789,9079,2531,8249,0,10456,1047,1076
Lappi,2035,33300,117910,6240,9478,2564,8341,0,10393,1044,1066
Lappi,2040,33791,117474,6415,9515,2528,8023,0,10195,1027,1071
